TITLE="foil"
VARIABLES="Iteration" "Residual_rho" "Residual_rhou" "Residual_rhov" "Residual_rhop"
ZONE  F=POINT
11301 3.597445e-07 3.014235e-07 1.536990e-07 9.708978e-07
11351 3.520689e-07 2.945552e-07 1.488782e-07 9.560089e-07
11401 3.443537e-07 2.877021e-07 1.440184e-07 9.392874e-07
11451 3.366270e-07 2.809067e-07 1.391307e-07 9.211027e-07
11501 3.289111e-07 2.742048e-07 1.342326e-07 9.020291e-07
11551 3.212158e-07 2.676138e-07 1.293441e-07 8.824863e-07
11601 3.135411e-07 2.612155e-07 1.247944e-07 8.626381e-07
11651 3.058822e-07 2.550523e-07 1.209449e-07 8.424732e-07
11701 2.982351e-07 2.489915e-07 1.171133e-07 8.219271e-07
11751 2.905984e-07 2.430293e-07 1.133027e-07 8.009620e-07
11801 2.829723e-07 2.371596e-07 1.095140e-07 7.795914e-07
11901 2.675401e-07 2.407067e-07 1.116771e-07 7.578273e-07
11951 2.612895e-07 2.299036e-07 1.066657e-07 7.038117e-07
12001 2.544441e-07 2.222341e-07 9.770832e-08 6.902127e-07
12051 2.466977e-07 2.156661e-07 9.332196e-08 6.708810e-07
12101 2.383703e-07 2.076483e-07 8.957995e-08 6.476911e-07
12151 2.301211e-07 1.996617e-07 8.571863e-08 6.239720e-07
12201 2.228963e-07 1.933369e-07 8.214167e-08 6.011776e-07
12251 2.160180e-07 1.868943e-07 7.928183e-08 5.775986e-07
12301 2.092220e-07 1.808151e-07 7.821441e-08 5.533292e-07
12351 2.023782e-07 1.753434e-07 7.757707e-08 5.298190e-07
12401 1.954650e-07 1.710730e-07 7.693001e-08 5.075531e-07
12451 1.885382e-07 1.670268e-07 7.621203e-08 4.862031e-07
12501 1.816747e-07 1.630602e-07 7.539374e-08 4.654277e-07
12551 1.749295e-07 1.591026e-07 7.447718e-08 4.449593e-07
12601 1.683203e-07 1.551305e-07 7.348297e-08 4.245272e-07
12651 1.618349e-07 1.511443e-07 7.243670e-08 4.039518e-07
12701 1.554497e-07 1.471551e-07 7.149810e-08 3.832383e-07
12751 1.491456e-07 1.431768e-07 7.101001e-08 3.625438e-07
12801 1.429169e-07 1.392781e-07 7.049248e-08 3.420664e-07
12851 1.367708e-07 1.356092e-07 6.993808e-08 3.219516e-07
12901 1.308454e-07 1.319787e-07 6.934052e-08 3.088877e-07
12951 1.250826e-07 1.284154e-07 6.869610e-08 2.998604e-07
13001 1.194573e-07 1.250174e-07 6.800440e-08 2.910908e-07
13051 1.139763e-07 1.216740e-07 6.726814e-08 2.823963e-07
13101 1.089449e-07 1.183931e-07 6.649240e-08 2.738069e-07
13151 1.040952e-07 1.151844e-07 6.568359e-08 2.658598e-07
13201 9.936932e-08 1.120581e-07 6.484827e-08 2.582724e-07
13251 9.766232e-08 1.238794e-07 6.314714e-08 2.870525e-07
