TITLE="foil"
VARIABLES="Iteration" "Residual_rho" "Residual_rhou" "Residual_rhov" "Residual_rhop"
ZONE  F=POINT
3801 1.012649e-05 5.255829e-03 2.177317e-03 1.923520e+00
3851 1.036009e-05 5.078183e-03 2.150392e-03 1.940737e+00
3901 1.057856e-05 4.909655e-03 2.124047e-03 1.955454e+00
3951 1.078078e-05 4.742046e-03 2.098724e-03 1.967552e+00
4001 1.096605e-05 4.574971e-03 2.072323e-03 1.977018e+00
4051 1.113395e-05 4.409071e-03 2.044967e-03 1.983917e+00
4101 1.128436e-05 4.244882e-03 2.016772e-03 1.988375e+00
4151 1.141732e-05 4.082835e-03 1.987859e-03 1.990555e+00
4201 1.153302e-05 3.923262e-03 1.958351e-03 1.990634e+00
4251 1.163169e-05 3.766404e-03 1.928381e-03 1.988789e+00
4301 1.171362e-05 3.612420e-03 1.898084e-03 1.985177e+00
4351 1.177907e-05 3.461404e-03 1.867596e-03 1.979933e+00
4401 1.182827e-05 3.313392e-03 1.837054e-03 1.973154e+00
4451 1.186142e-05 3.173199e-03 1.806586e-03 1.964905e+00
4501 1.187867e-05 3.040995e-03 1.776311e-03 1.955210e+00
4551 1.188010e-05 2.911104e-03 1.746334e-03 1.944062e+00
4601 1.186580e-05 2.783529e-03 1.716744e-03 1.931422e+00
4651 1.183580e-05 2.658256e-03 1.687609e-03 1.917230e+00
4701 1.179017e-05 2.535265e-03 1.658976e-03 1.901407e+00
4751 1.172895e-05 2.414536e-03 1.630873e-03 1.883868e+00
4801 1.165226e-05 2.296054e-03 1.603305e-03 1.864527e+00
4851 1.156025e-05 2.179817e-03 1.576257e-03 1.843308e+00
4901 1.145316e-05 2.065831e-03 1.549701e-03 1.820142e+00
4951 1.133126e-05 1.954119e-03 1.523592e-03 1.794975e+00
5001 1.119493e-05 1.844715e-03 1.497875e-03 1.767777e+00
5051 1.104461e-05 1.739716e-03 1.472485e-03 1.738536e+00
5101 1.088086e-05 1.642517e-03 1.447355e-03 1.707268e+00
5151 1.070430e-05 1.547339e-03 1.422412e-03 1.674013e+00
5201 1.051562e-05 1.454243e-03 1.397586e-03 1.638836e+00
5251 1.031559e-05 1.363295e-03 1.372836e-03 1.601824e+00
5301 1.010503e-05 1.274566e-03 1.348074e-03 1.563084e+00
5351 9.884835e-06 1.195958e-03 1.323225e-03 1.522741e+00
5401 9.655898e-06 1.154913e-03 1.298253e-03 1.480936e+00
5451 9.419159e-06 1.114576e-03 1.273126e-03 1.437820e+00
5501 9.175566e-06 1.075066e-03 1.251213e-03 1.393555e+00
5551 8.926077e-06 1.036481e-03 1.230255e-03 1.348306e+00
5601 8.671639e-06 9.989042e-04 1.208831e-03 1.302246e+00
5651 8.413184e-06 9.624046e-04 1.186930e-03 1.255543e+00
5701 8.151623e-06 9.270353e-04 1.164548e-03 1.208366e+00
5751 7.887838e-06 8.929344e-04 1.141693e-03 1.161357e+00
5801 7.622672e-06 8.613577e-04 1.118379e-03 1.114725e+00
5851 7.356933e-06 8.309814e-04 1.094630e-03 1.068035e+00
5901 7.091384e-06 8.017983e-04 1.070475e-03 1.021435e+00
5951 6.826875e-06 7.737967e-04 1.045947e-03 9.750621e-01
6001 6.565013e-06 7.469583e-04 1.021085e-03 9.290459e-01
6051 6.305268e-06 7.212594e-04 9.959319e-04 8.835053e-01
6101 6.048214e-06 6.966738e-04 9.705315e-04 8.385493e-01
6151 5.794378e-06 6.731695e-04 9.449325e-04 7.954268e-01
6201 5.544240e-06 6.507115e-04 9.191830e-04 7.535591e-01
6251 5.298234e-06 6.292650e-04 8.933312e-04 7.124293e-01
6301 5.056749e-06 6.087936e-04 8.674254e-04 6.723574e-01
6351 4.820131e-06 5.892604e-04 8.415132e-04 6.357283e-01
6401 4.588683e-06 5.706280e-04 8.156413e-04 6.033970e-01
6451 4.362671e-06 5.528586e-04 7.898550e-04 5.751017e-01
6501 4.142321e-06 5.359152e-04 7.641978e-04 5.476819e-01
6551 3.927825e-06 5.197609e-04 7.432723e-04 5.228286e-01
6601 3.719342e-06 5.043594e-04 7.228860e-04 4.989514e-01
6651 3.516996e-06 4.896753e-04 7.021892e-04 4.783237e-01
6701 3.320884e-06 4.787187e-04 6.812460e-04 4.634683e-01
6751 3.131077e-06 4.820495e-04 6.601176e-04 4.490966e-01
6801 2.947616e-06 4.842478e-04 6.388624e-04 4.344917e-01
6851 2.770524e-06 4.856072e-04 6.175362e-04 4.213473e-01
6901 2.599800e-06 4.864313e-04 5.961915e-04 4.093220e-01
6951 2.435421e-06 4.862491e-04 5.752153e-04 3.970883e-01
7001 2.277350e-06 4.851364e-04 5.564809e-04 3.858684e-01
7051 2.125530e-06 4.831671e-04 5.383830e-04 3.758379e-01
7101 1.979891e-06 4.804126e-04 5.226677e-04 3.669279e-01
