TITLE="foil"
VARIABLES="Iteration" "R_1" "R_2" "R_3" "R_4" "R_5" "R_6" "C_L" "C_D" "C_M_x" "C_M_y" "C_M_z" "Wall Time" "C_x" "C_y" "C_z" "C_Lp" "C_Dp" "C_Lv" "C_Dv" "C_M_xp" "C_M_yp" "C_M_zp" "C_M_xv" "C_M_yv" "C_M_zv" "C_xp" "C_yp" "C_zp" "C_xv" "C_yv" "C_zv"
ZONE  I=50 F=POINT
1  0.1385921828E-02  0.3070995644E-02  0.2753957384E-03  0.3128426135E-03  0.3408736241E-02  0.1850017643E-01  0.6411747221E-01  0.3431188725E+00 -0.2941430485E+00 -0.1398145252E+01  0.1069716937E+02  0.5117681250E+01  0.3431188725E+00  0.1058372755E+01  0.6411747221E-01  0.6411544158E-01  0.3429494448E+00  0.2030625554E-05  0.1694276187E-03 -0.2941271542E+00 -0.1398114996E+01  0.1069542389E+02 -0.1589429492E-04 -0.3025590078E-04  0.1745486370E-02  0.3429494448E+00  0.1058372379E+01  0.6411544158E-01  0.1694276187E-03  0.3759265003E-06  0.2030625554E-05
2  0.1363935826E-02  0.3005094448E-02  0.2702641548E-03  0.3120694730E-03  0.3338279119E-02  0.1845549660E-01  0.1379645614E+00  0.7381288293E+00 -0.5891698415E+00 -0.3005365692E+01  0.1489035008E+02  0.5180356250E+01  0.7381288293E+00  0.1268199641E+01  0.1379645614E+00  0.1379625838E+00  0.7379606745E+00  0.1977593534E-05  0.1681548705E-03 -0.5891543811E+00 -0.3005336257E+01  0.1488861765E+02 -0.1546035610E-04 -0.2943484330E-04  0.1732432411E-02  0.7379606745E+00  0.1268199273E+01  0.1379625838E+00  0.1681548705E-03  0.3680913741E-06  0.1977593534E-05
3  0.1337612222E-02  0.2933738385E-02  0.2646127288E-03  0.3115809948E-03  0.3250238699E-02  0.1840752772E-01  0.2211312430E+00  0.1183707530E+01 -0.9199624036E+00 -0.4812302349E+01  0.1961409858E+02  0.5235866071E+01  0.1183707530E+01  0.1504087488E+01  0.2211312430E+00  0.2211293255E+00  0.1183540782E+01  0.1917449426E-05  0.1667472285E-03 -0.9199474364E+00 -0.4812273846E+01  0.1961238059E+02 -0.1496713993E-04 -0.2850392015E-04  0.1717991222E-02  0.1183540782E+01  0.1504087130E+01  0.2211293255E+00  0.1667472285E-03  0.3587097908E-06  0.1917449426E-05
4  0.1309355492E-02  0.2857009972E-02  0.2588834865E-03  0.3119866933E-03  0.3157340221E-02  0.1835676777E-01  0.3132726513E+00  0.1678087528E+01 -0.1284694181E+01 -0.6810154803E+01  0.2484655888E+02  0.5289256250E+01  0.1678087528E+01  0.1764714354E+01  0.3132726513E+00  0.3132708011E+00  0.1677922312E+01  0.1850276575E-05  0.1652158371E-03 -0.1284679766E+01 -0.6810127339E+01  0.2484485660E+02 -0.1441496707E-04 -0.2746439687E-04  0.1702277054E-02  0.1677922312E+01  0.1764714006E+01  0.3132708011E+00  0.1652158371E-03  0.3476666371E-06  0.1850276575E-05
5  0.1279781751E-02  0.2776082811E-02  0.2531960358E-03  0.3133829763E-03  0.3061721507E-02  0.1830369983E-01  0.4139840371E+00  0.2219296372E+01 -0.1681155315E+01 -0.8988995569E+01  0.3056398761E+02  0.5342606250E+01  0.2219296372E+01  0.2048683940E+01  0.4139840371E+00  0.4139822610E+00  0.2219132800E+01  0.1776128816E-05  0.1635719763E-03 -0.1681141511E+01 -0.8988969252E+01  0.3056230220E+02 -0.1380404132E-04 -0.2631712223E-04  0.1685405682E-02  0.2219132800E+01  0.2048683606E+01  0.4139822610E+00  0.1635719763E-03  0.3348571016E-06  0.1776128816E-05
6  0.1249392462E-02  0.2692040577E-02  0.2477030436E-03  0.3158365482E-03  0.2965152753E-02  0.1824878422E-01  0.5228161418E+00  0.2805149261E+01 -0.2106833414E+01 -0.1133785587E+02  0.3674057943E+02  0.5395856250E+01  0.2805149261E+01  0.2354515373E+01  0.5228161418E+00  0.5228144467E+00  0.2804987434E+01  0.1695085698E-05  0.1618270157E-03 -0.2106820279E+01 -0.1133783081E+02  0.3673891194E+02 -0.1313470057E-04 -0.2506335732E-04  0.1667493696E-02  0.2804987434E+01  0.2354515053E+01  0.5228144467E+00  0.1618270157E-03  0.3201831114E-06  0.1695085698E-05
7  0.1218657180E-02  0.2605878907E-02  0.2425657313E-03  0.3194273514E-03  0.2869362742E-02  0.1819245085E-01  0.6392943252E+00  0.3433253305E+01 -0.2559153783E+01 -0.1384518884E+02  0.4334853833E+02  0.5449156250E+01  0.3433253305E+01  0.2680647842E+01  0.6392943252E+00  0.6392927179E+00  0.3433093312E+01  0.1607281491E-05  0.1599923240E-03 -0.2559141375E+01 -0.1384516513E+02  0.4334688967E+02 -0.1240779317E-04 -0.2370524122E-04  0.1648657339E-02  0.3433093312E+01  0.2680647538E+01  0.6392927179E+00  0.1599923240E-03  0.3035497198E-06  0.1607281491E-05
8  0.1188004884E-02  0.2518353231E-02  0.2379148787E-03  0.3242220147E-03  0.2775797991E-02  0.1813509952E-01  0.7626013631E+00  0.4101059381E+01 -0.3033892306E+01 -0.1649439866E+02  0.5035814451E+02  0.5503606250E+01  0.4101059381E+01  0.3025434552E+01  0.7626013631E+00  0.7625998502E+00  0.4100901301E+01  0.1512847440E-05  0.1580790766E-03 -0.3033880682E+01 -0.1649437642E+02  0.5035651550E+02 -0.1162426576E-04 -0.2224485575E-04  0.1629011271E-02  0.4100901301E+01  0.3025434267E+01  0.7625998502E+00  0.1580790766E-03  0.2848832904E-06  0.1512847440E-05
9  0.1157797322E-02  0.2430701845E-02  0.2339019349E-03  0.3302564912E-03  0.2686213401E-02  0.1807708338E-01  0.8923483871E+00  0.4805764720E+01 -0.3528165105E+01 -0.1927486881E+02  0.5773819951E+02  0.5556856250E+01  0.4805764720E+01  0.3387198302E+01  0.8923483871E+00  0.8923469751E+00  0.4805608621E+01  0.1411991694E-05  0.1560981355E-03 -0.3528154319E+01 -0.1927484813E+02  0.5773659084E+02 -0.1078569500E-04 -0.2068549394E-04  0.1608667451E-02  0.4805608621E+01  0.3387198038E+01  0.8923469751E+00  0.1560981355E-03  0.2641370904E-06  0.1411991694E-05
10  0.1128333206E-02  0.2343493493E-02  0.2305955176E-03  0.3375071989E-03  0.2601531203E-02  0.1801871510E-01  0.1027893354E+01  0.5544439780E+01 -0.4038575124E+01 -0.2217217613E+02  0.6545594701E+02  0.5611656250E+01  0.5544439780E+01  0.3764194896E+01  0.1027893354E+01  0.1027892049E+01  0.5544285720E+01  0.1304936116E-05  0.1540600057E-03 -0.4038565230E+01 -0.2217215710E+02  0.6545435928E+02 -0.9893872807E-05 -0.1903061778E-04  0.1587733765E-02  0.5544285720E+01  0.3764194655E+01  0.1027892049E+01  0.1540600057E-03  0.2412777983E-06  0.1304936116E-05
